postnr;postnr_by;aktiv
6280;Højer;t
6300;Gråsten;t
6310;Broager;t
6320;Egernsund;t
6330;Padborg;t
6340;Kruså;t
6360;Tinglev;t
6372;Bylderup-Bov;t
6392;Bolderslev;t
6400;Sønderborg;t
6430;Nordborg;t
6440;Augustenborg;t
6470;Sydals;t
6500;Vojens;t
6510;Gram;t
6520;Toftlund;t
6534;Agerskov;t
6535;Branderup J;t
6541;Bevtoft;t
6560;Sommersted;t
6580;Vamdrup;t
6600;Vejen;t
6621;Gesten;t
6622;Bække;t
6623;Vorbasse;t
6630;Rødding;t
6640;Lunderskov;t
6650;Brørup;t
6660;Lintrup;t
6670;Holsted;t
6682;Hovborg;t
6683;Føvling;t
6690;Gørding;t
6700;Esbjerg;t
6705;Esbjerg Ø;t
6710;Esbjerg V;t
6715;Esbjerg N;t
6720;Fanø;t
6731;Tjæreborg;t
6740;Bramming;t
6752;Glejbjerg;t
6753;Agerbæk;t
6760;Ribe;t
6771;Gredstedbro;t
6780;Skærbæk;t
6792;Rømø;t
6800;Varde;t
6818;Årre;t
6823;Ansager;t
6830;Nørre Nebel;t
6840;Oksbøl;t
6851;Janderup Vestj;t
6852;Billum;t
6853;Vejers Strand;t
6854;Henne;t
6855;Outrup;t
6857;Blåvand;t
6862;Tistrup;t
6870;Ølgod;t
6880;Tarm;t
6893;Hemmet;t
6900;Skjern;t
6920;Videbæk;t
6933;Kibæk;t
6940;Lem St;t
6950;Ringkøbing;t
6960;Hvide Sande;t
6971;Spjald;t
6973;Ørnhøj;t
6980;Tim;t
6990;Ulfborg;t
7000;Fredericia;t
7080;Børkop;t
7100;Vejle;t
7120;Vejle Øst;t
7130;Juelsminde;t
7140;Stouby;t
7150;Barrit;t
7160;Tørring;t
7171;Uldum;t
7173;Vonge;t
7182;Bredsten;t
7183;Randbøl;t
7184;Vandel;t
7190;Billund;t
7200;Grindsted;t
7250;Hejnsvig;t
7260;Sønder Omme;t
7270;Stakroge;t
7280;Sønder Felding;t
7300;Jelling;t
7321;Gadbjerg;t
7323;Give;t
7330;Brande;t
7361;Ejstrupholm;t
7362;Hampen;t
7400;Herning;t
7430;Ikast;t
7441;Bording;t
7442;Engesvang;t
7451;Sunds;t
7470;Karup J;t
7480;Vildbjerg;t
7490;Aulum;t
7500;Holstebro;t
7540;Haderup;t
7550;Sørvad;t
7560;Hjerm;t
7570;Vemb;t
7600;Struer;t
7620;Lemvig;t
7650;Bøvlingbjerg;t
7660;Bækmarksbro;t
7673;Harboøre;t
7680;Thyborøn;t
7700;Thisted;t
7730;Hanstholm;t
7741;Frøstrup;t
7742;Vesløs;t
7752;Snedsted;t
7755;Bedsted Thy;t
7760;Hurup Thy;t
7770;Vestervig;t
7790;Thyholm;t
7800;Skive;t
7830;Vinderup;t
7840;Højslev;t
7850;Stoholm Jyll;t
7860;Spøttrup;t
7870;Roslev;t
7884;Fur;t
7900;Nykøbing M;t
7950;Erslev;t
7960;Karby;t
7970;Redsted M;t
7980;Vils;t
7990;Øster Assels;t
8000;Aarhus C;t
8200;Aarhus N;t
8210;Aarhus V;t
8220;Brabrand;t
8230;Åbyhøj;t
8240;Risskov;t
8250;Egå;t
8260;Viby J;t
8270;Højbjerg;t
8300;Odder;t
8305;Samsø;t
8310;Tranbjerg J;t
8320;Mårslet;t
8330;Beder;t
8340;Malling;t
8350;Hundslund;t
8355;Solbjerg;t
8361;Hasselager;t
8362;Hørning;t
8370;Hadsten;t
8380;Trige;t
8381;Tilst;t
8382;Hinnerup;t
8400;Ebeltoft;t
8410;Rønde;t
8420;Knebel;t
8444;Balle;t
8450;Hammel;t
8462;Harlev J;t
8464;Galten;t
8471;Sabro;t
8472;Sporup;t
8500;Grenaa;t
8520;Lystrup;t
8530;Hjortshøj;t
8541;Skødstrup;t
8543;Hornslet;t
8544;Mørke;t
8550;Ryomgård;t
8560;Kolind;t
8570;Trustrup;t
8581;Nimtofte;t
8585;Glesborg;t
8586;Ørum Djurs;t
8592;Anholt;t
8600;Silkeborg;t
8620;Kjellerup;t
8632;Lemming;t
8641;Sorring;t
8643;Ans By;t
8653;Them;t
8654;Bryrup;t
8660;Skanderborg;t
8670;Låsby;t
8680;Ry;t
8700;Horsens;t
8721;Daugård;t
8722;Hedensted;t
8723;Løsning;t
8732;Hovedgård;t
8740;Brædstrup;t
8751;Gedved;t
8752;Østbirk;t
8762;Flemming;t
8763;Rask Mølle;t
8765;Klovborg;t
8766;Nørre Snede;t
8781;Stenderup;t
8783;Hornsyld;t
8789;Endelave;t
8799;Tunø;t
8800;Viborg;t
8830;Tjele;t
8831;Løgstrup;t
8832;Skals;t
8840;Rødkærsbro;t
8850;Bjerringbro;t
8860;Ulstrup;t
8870;Langå;t
8881;Thorsø;t
8882;Fårvang;t
8883;Gjern;t
8900;Randers C;t
8920;Randers NV;t
8930;Randers NØ;t
8940;Randers SV;t
8950;Ørsted;t
8960;Randers SØ;t
8961;Allingåbro;t
8963;Auning;t
8970;Havndal;t
8981;Spentrup;t
8983;Gjerlev J;t
8990;Fårup;t
9000;Aalborg;t
9200;Aalborg SV;t
9210;Aalborg SØ;t
9220;Aalborg Øst;t
9230;Svenstrup J;t
9240;Nibe;t
9260;Gistrup;t
9270;Klarup;t
9280;Storvorde;t
9293;Kongerslev;t
9300;Sæby;t
9310;Vodskov;t
9320;Hjallerup;t
9330;Dronninglund;t
9340;Asaa;t
9352;Dybvad;t
9362;Gandrup;t
9370;Hals;t
9380;Vestbjerg;t
9381;Sulsted;t
9382;Tylstrup;t
9400;Nørresundby;t
9430;Vadum;t
9440;Aabybro;t
9460;Brovst;t
9480;Løkken;t
9490;Pandrup;t
9492;Blokhus;t
9493;Saltum;t
9500;Hobro;t
9510;Arden;t
9520;Skørping;t
9530;Støvring;t
9541;Suldrup;t
9550;Mariager;t
9560;Hadsund;t
9574;Bælum;t
9575;Terndrup;t
9600;Aars;t
9610;Nørager;t
9620;Aalestrup;t
9631;Gedsted;t
9632;Møldrup;t
9640;Farsø;t
9670;Løgstør;t
9681;Ranum;t
9690;Fjerritslev;t
9700;Brønderslev;t
9740;Jerslev J;t
9750;Østervrå;t
9760;Vrå;t
9800;Hjørring;t
9830;Tårs;t
9850;Hirtshals;t
9870;Sindal;t
9881;Bindslev;t
9900;Frederikshavn;t
9940;Læsø;t
9970;Strandby;t
9981;Jerup;t
9982;Ålbæk;t
9990;Skagen;t
